model,tp,fp,tn,fn,precision,recall,f1_score,accuracy,anomaly_count,seed,contamination
Isolation Forest,26,44,551,104,0.37142857142857144,0.2,0.26,0.7958620689655173,70,42,0.1
Isolation Forest,24,34,561,106,0.41379310344827586,0.18461538461538463,0.25531914893617025,0.8068965517241379,58,84,0.1
Isolation Forest,29,36,559,101,0.4461538461538462,0.2230769230769231,0.29743589743589743,0.8110344827586207,65,126,0.1
Isolation Forest,17,31,564,113,0.3541666666666667,0.13076923076923078,0.19101123595505617,0.8013793103448276,48,168,0.1
Isolation Forest,20,41,554,110,0.32786885245901637,0.15384615384615385,0.2094240837696335,0.7917241379310345,61,210,0.1
