model,tp,fp,tn,fn,precision,recall,f1_score,accuracy,anomaly_count,seed,threshold_percentile,threshold
LSTM Autoencoder,45,28,567,85,0.6164383561643836,0.34615384615384615,0.4433497536945813,0.8441379310344828,73,42,90,0.08127880543470382
LSTM Autoencoder,41,17,578,89,0.7068965517241379,0.3153846153846154,0.4361702127659574,0.8537931034482759,58,42,92,0.08430676430463792
LSTM Autoencoder,37,0,595,93,1.0,0.2846153846153846,0.44311377245508987,0.8717241379310345,37,42,95,0.09133524894714348
LSTM Autoencoder,22,0,595,108,1.0,0.16923076923076924,0.2894736842105263,0.8510344827586207,22,42,97,0.1377963751554489
LSTM Autoencoder,8,0,595,122,1.0,0.06153846153846154,0.11594202898550725,0.8317241379310345,8,42,99,0.15505542099475858
