model,tp,fp,tn,fn,precision,recall,f1_score,accuracy,anomaly_count,seed,threshold_percentile,training_mode,threshold,train_time_sec
LSTM Autoencoder,37,0,595,93,1.0,0.2846153846153846,0.44311377245508987,0.8717241379310345,37,42,95,contaminated,0.09133524894714348,510.0
LSTM Autoencoder,36,1,594,94,0.972972972972973,0.27692307692307694,0.43113772455089816,0.8689655172413793,37,84,95,contaminated,0.09229081422090529,498.3
LSTM Autoencoder,36,1,594,94,0.972972972972973,0.27692307692307694,0.43113772455089816,0.8689655172413793,37,126,95,contaminated,0.09136585295200347,566.5
LSTM Autoencoder,35,2,593,95,0.9459459459459459,0.2692307692307692,0.41916167664670656,0.8662068965517241,37,168,95,contaminated,0.09191713780164718,617.4
LSTM Autoencoder,33,4,591,97,0.8918918918918919,0.25384615384615383,0.39520958083832336,0.8606896551724138,37,210,95,contaminated,0.09219523221254347,615.6
