model,tp,fp,tn,fn,precision,recall,f1_score,accuracy,anomaly_count,seed,threshold_percentile,training_mode,threshold,train_time_sec
LSTM Autoencoder,34,3,592,96,0.918918918918919,0.26153846153846155,0.40718562874251496,0.863448275862069,37,42,95,clean,0.09287225455045697,421.3
LSTM Autoencoder,35,2,593,95,0.9459459459459459,0.2692307692307692,0.41916167664670656,0.8662068965517241,37,84,95,clean,0.09210063368082046,310.7
LSTM Autoencoder,34,3,592,96,0.918918918918919,0.26153846153846155,0.40718562874251496,0.863448275862069,37,126,95,clean,0.09274955242872236,406.2
LSTM Autoencoder,35,2,593,95,0.9459459459459459,0.2692307692307692,0.41916167664670656,0.8662068965517241,37,168,95,clean,0.0919232502579689,364.9
LSTM Autoencoder,35,2,593,95,0.9459459459459459,0.2692307692307692,0.41916167664670656,0.8662068965517241,37,210,95,clean,0.09147889912128448,443.6
